Bairros,Municipios,Estado,Notificacoes,Casos,Obitos,Curados,Suspeitos,Descartados
ALTO JOEBA,ANCHIETA,Espírito Santo,235,76,1,75,9,150
SÃO CARLOS II,JOAO NEIVA,Espírito Santo,235,79,1,78,0,156
PATRIMÔNIO DO BIS,NOVA VENECIA,Espírito Santo,234,57,0,57,0,177
VOLTA GRANDE ,LARANJA DA TERRA,Espírito Santo,234,57,0,57,0,177
CÓRREGO DA PRATA,CASTELO,Espírito Santo,234,61,0,61,14,159
BARRA DE SÃO FRANCISCO,RIO BANANAL,Espírito Santo,234,70,0,70,24,140
RIVE I,ALEGRE,Espírito Santo,233,37,0,37,0,196
Não Informado,NANUQUE,Minas Gerais,233,0,0,0,0,0
BANANALZINHO,RIO BANANAL,Espírito Santo,233,73,0,73,16,144
GOIAPABA - AÇU,SANTA TERESA,Espírito Santo,233,61,0,61,1,171
CÓRREGO SÃO PAULO,RIO BANANAL,Espírito Santo,233,89,0,89,9,135
CÓRREGO DO POÇÃO,NOVA VENECIA,Espírito Santo,233,71,0,71,0,162
TAQUARA DO REINO,GUARAPARI,Espírito Santo,233,73,2,71,12,148
VILA BELA VISTA,IRUPI,Espírito Santo,233,85,1,84,32,116
TRÊS BARRAS,FUNDAO,Espírito Santo,232,70,0,67,2,160
BAIXO SOSSÊGO,ITARANA,Espírito Santo,232,74,0,72,12,146
JOCAFE 2,LINHARES,Espírito Santo,232,57,0,57,60,115
DESERTO FELIZ,ATILIO VIVACQUA,Espírito Santo,231,71,1,70,0,160
SERTÃO,JERONIMO MONTEIRO,Espírito Santo,231,48,0,46,1,182
CÓRREGO ALEGRE,SAO GABRIEL DA PALHA,Espírito Santo,231,93,0,90,5,133
CAXIXE QUENTE,CASTELO,Espírito Santo,231,73,1,72,19,139
CORREGO PALMEIRA,SAO GABRIEL DA PALHA,Espírito Santo,230,91,0,91,10,129
JOÃO BUTICA,IRUPI,Espírito Santo,230,80,3,76,26,124
SAPUCAIA,BARRA DE SAO FRANCISCO,Espírito Santo,230,71,2,63,51,108
CÓRREGO SABIÁ 1,SAO DOMINGOS DO NORTE,Espírito Santo,230,80,3,77,0,150
BARRA DO CARAVÁGIO,ITARANA,Espírito Santo,230,77,0,77,11,142
BARRA DO TRIUNFO,ITAGUACU,Espírito Santo,229,64,0,64,0,165
SANTANA FELIZ,PRESIDENTE KENNEDY,Espírito Santo,229,59,0,59,0,170
SANTO AMARO,ITAPEMIRIM,Espírito Santo,229,66,2,64,0,163
BAIRRO CARRARETO,JOAO NEIVA,Espírito Santo,229,66,0,65,0,163
ANCHIETA,ANCHIETA,Espírito Santo,229,39,0,39,13,177
