Bairros,Municipios,Estado,Notificacoes,Casos,Obitos,Curados,Suspeitos,Descartados
Não Informado,PRIMAVERA DE RONDONIA,Rondônia,4,0,0,0,0,0
NOVA ESPERANÇA,SAO MATEUS,Espírito Santo,4,1,0,1,1,2
Não Informado,PERIQUITO,Minas Gerais,4,0,0,0,0,0
Não Informado,PIRANGUINHO,Minas Gerais,4,0,0,0,0,0
Não Informado,PORTEIRINHA,Minas Gerais,4,0,0,0,0,0
Não Informado,RIO ACIMA,Minas Gerais,4,0,0,0,0,0
Não Encontrado,BETIM,Minas Gerais,4,2,0,1,0,2
Não Informado,RIO NOVO,Minas Gerais,4,0,0,0,0,0
Não Informado,RIO PIRACICABA,Minas Gerais,4,0,0,0,0,0
Não Encontrado,CATAGUASES,Minas Gerais,4,2,0,2,1,1
Não Informado,PRESIDENTE MEDICI,Rondônia,4,0,0,0,0,0
Não Encontrado,ABADIA DE GOIAS,Goiás,4,1,0,0,1,2
Não Encontrado,MANHUACU,Minas Gerais,4,2,0,2,1,1
Não Encontrado,ITAPERUNA,Rio de Janeiro,4,1,0,1,0,3
Não Encontrado,RIO BANANAL,Espírito Santo,4,0,0,0,0,4
Não Informado,SAO BRAS DO SUACUI,Minas Gerais,4,0,0,0,0,0
Não Informado,SAO JOSE DO JACURI,Minas Gerais,4,0,0,0,0,0
Não Informado,SAO JOSE DO MANTIMENTO,Minas Gerais,4,0,0,0,0,0
SANTA JOSEFA I,PRESIDENTE KENNEDY,Espírito Santo,4,2,0,2,0,2
TERMÓPOLIS,MIMOSO DO SUL,Espírito Santo,4,1,0,1,0,3
SANTA HELENA,CONCEICAO DO CASTELO,Espírito Santo,4,0,0,0,0,4
Não Informado,MADRE DE DEUS,Bahia,4,0,0,0,0,0
Não Informado,MARCIONILIO SOUZA,Bahia,4,0,0,0,0,0
SANTA ANGÉLICA-CENTRO,ALEGRE,Espírito Santo,4,1,0,1,0,3
Não Informado,POJUCA,Bahia,4,0,0,0,0,0
TRES CRUZES,ALFREDO CHAVES,Espírito Santo,4,2,0,2,0,2
Não Informado,SANTO ANTONIO DE JESUS,Bahia,4,0,0,0,0,0
RIO RIACHO,ARACRUZ,Espírito Santo,4,1,0,1,0,3
Não Informado,VARZEA DA PALMA,Minas Gerais,4,0,0,0,0,0
Não Informado,ACAUA,Piauí,4,0,0,0,0,0
Não Informado,TEOLANDIA,Bahia,4,0,0,0,0,0
RIO DO NORTE,ARACRUZ,Espírito Santo,4,1,0,1,0,3
Não Informado,XIQUE-XIQUE,Bahia,4,0,0,0,0,0
VALIATI,SAO MATEUS,Espírito Santo,4,0,0,0,0,4
VARGEM ALEGRE,ALEGRE,Espírito Santo,4,0,0,0,0,4
Não Informado,ALPERCATA,Minas Gerais,4,0,0,0,0,0
RESIDENCIAL RICARDO HOLZ,ARACRUZ,Espírito Santo,4,3,0,3,0,1
Não Informado,ARACAI,Minas Gerais,4,0,0,0,0,0
Não Informado,ARCOS,Minas Gerais,4,0,0,0,0,0
RESERVA FLORESTAL MESTRE ÁLVARO,SERRA,Espírito Santo,4,0,0,0,0,4
Não Informado,ASTOLFO DUTRA,Minas Gerais,4,0,0,0,0,0
RECREIO,MIMOSO DO SUL,Espírito Santo,4,1,0,1,0,3
Não Informado,BOA ESPERANCA,Minas Gerais,4,0,0,0,0,0
VEADINHO,DIVINO DE SAO LOURENCO,Espírito Santo,4,0,0,0,0,4
PRATINHA DE JORCELINO,GUACUI,Espírito Santo,4,3,0,3,0,1
Não Informado,CAMBUI,Minas Gerais,4,0,0,0,0,0
Não Informado,MACHADINHO D'OESTE,Rondônia,4,0,0,0,0,0
Não Informado,CAPITAO ANDRADE,Minas Gerais,4,0,0,0,0,0
Não Informado,CAPUTIRA,Minas Gerais,4,0,0,0,0,0
Não Informado,CARANDAI,Minas Gerais,4,0,0,0,0,0
PORTO BELO,COLATINA,Espírito Santo,4,2,0,1,0,2
Não Informado,CONCEICAO DE IPANEMA,Minas Gerais,4,0,0,0,0,0
PONTE DE BRAUNA,ALEGRE,Espírito Santo,4,0,0,0,0,4
PONTE BRAUNA,MIMOSO DO SUL,Espírito Santo,4,0,0,0,0,4
PONTAL DO ATLÂNTICO,GUARAPARI,Espírito Santo,4,1,0,1,0,3
VILA DO NELSON,IRUPI,Espírito Santo,4,0,0,0,0,4
POÇO FUNDO,PRESIDENTE KENNEDY,Espírito Santo,4,0,0,0,0,4
PLANALTO,FEIRA DE SANTANA,Bahia,4,2,0,0,0,2
Não Informado,ERVALIA,Minas Gerais,4,0,0,0,0,0
Não Informado,EUGENOPOLIS,Minas Gerais,4,0,0,0,0,0
Não Informado,TRES PONTAS,Minas Gerais,4,0,0,0,0,0
PIABANHA,RIO BANANAL,Espírito Santo,4,1,0,1,0,3
BONFIM,LARANJA DA TERRA,Espírito Santo,4,1,0,1,0,3
CASTELO,CASTELO,Espírito Santo,4,1,0,1,0,3
CACHOEIRA DAS GARÇAS,MIMOSO DO SUL,Espírito Santo,4,2,0,2,0,2
CÓRREGO SÃO JOSÉ DO MERITI,MUTUM,Minas Gerais,4,4,0,2,0,0
FAZENDA JACUTINGA (ZE CARLOS REZENDE),MIMOSO DO SUL,Espírito Santo,4,0,0,0,0,4
BOA ESPERANCA,MIMOSO DO SUL,Espírito Santo,4,0,0,0,0,4
BONS ARES,ALEGRE,Espírito Santo,4,1,0,1,0,3
Não Informado,RIO VERDE DE MATO GROSSO,Mato Grosso do Sul,4,0,0,0,0,0
CÓRREGO ALTO PANCAS - NILTON ALVES,PANCAS,Espírito Santo,4,0,0,0,3,1
CÓRREGO DO MACACO,SAO MATEUS,Espírito Santo,4,0,0,0,1,3
CÓRREGO ALTO SÃO PEDRO - CORTELETTI,PANCAS,Espírito Santo,4,1,0,1,0,3
CORREGO DO LEANDRO,GUACUI,Espírito Santo,4,3,0,3,0,1
Não Informado,ESPIRITO SANTO DO PINHAL,São Paulo,4,0,0,0,0,0
CÓRREGO DO JAO,VILA PAVAO,Espírito Santo,4,2,0,2,0,2
FAZENDA DO GALHO,GUACUI,Espírito Santo,4,1,0,1,0,3
BARRA ALEGRE,PONTO BELO,Espírito Santo,4,1,0,1,1,2
Não Informado,VARGEM GRANDE PAULISTA,São Paulo,4,0,0,0,0,0
CÓRREGO DO CEDRO,BARRA DE SAO FRANCISCO,Espírito Santo,4,0,0,0,1,3
CHACARA DO TOTINHO ,GUACUI,Espírito Santo,4,1,0,1,0,3
FAZENDA DO CAMPO,GUARAPARI,Espírito Santo,4,1,0,1,0,3
CORREGO DO BREJÃO,BARRA DE SAO FRANCISCO,Espírito Santo,4,1,0,1,0,3
Não Informado,PRESIDENTE VENCESLAU,São Paulo,4,0,0,0,0,0
Não Informado,PROMISSAO,São Paulo,4,0,0,0,0,0
FAZENDA CAETES,PRESIDENTE KENNEDY,Espírito Santo,4,0,0,0,0,4
BANANEIRA ROXA,MIMOSO DO SUL,Espírito Santo,4,0,0,0,0,4
FAZENDA BOM SUCESSO,SAO JOSE DO CALCADO,Espírito Santo,4,0,0,0,0,4
Não Informado,ALTA FLORESTA,Mato Grosso,4,0,0,0,0,0
Não Informado,CACHOEIRINHA,Rio Grande do Sul,4,0,0,0,0,0
CATUÁ DE CIMA,COLATINA,Espírito Santo,4,0,0,0,1,3
CORREGO DENZOL,ECOPORANGA,Espírito Santo,4,0,0,0,4,0
Não Informado,LINS,São Paulo,4,0,0,0,0,0
Não Informado,DOIS VIZINHOS,Paraná,4,0,0,0,0,0
Não Informado,ANDRADINA,São Paulo,4,0,0,0,0,0
CERUDE,PRESIDENTE KENNEDY,Espírito Santo,4,1,0,1,0,3
CÓRREGO BANANAL,BAIXO GUANDU,Espírito Santo,4,0,0,0,0,4
CÓRREGO DAS PALMEIRAS,MANTENOPOLIS,Espírito Santo,4,1,0,1,0,3
Não Informado,SANTA MARIA,Distrito Federal,4,0,0,0,0,0
Não Informado,RIBEIRAO BRANCO,São Paulo,4,0,0,0,0,0
Não Informado,JUQUIA,São Paulo,4,0,0,0,0,0
CANTAGALO,CACHOEIRO DE ITAPEMIRIM,Espírito Santo,4,3,0,3,0,1
CÓRREGO BEIJA FLOR,SAO DOMINGOS DO NORTE,Espírito Santo,4,0,0,0,0,4
CAATINGA,ITAGUACU,Espírito Santo,4,1,0,1,0,3
Não Informado,JARINU,São Paulo,4,0,0,0,0,0
CÓRREGO DA PRATA,NOVA VENECIA,Espírito Santo,4,0,0,0,0,4
CORREGO DAS FLORES,NOVA VENECIA,Espírito Santo,4,0,0,0,0,4
Não Informado,AGUAS DE LINDOIA,São Paulo,4,0,0,0,0,0
CENTRO,SOROCABA,São Paulo,4,4,1,2,0,0
CABECEIRA DO LIMO VERDE,DIVINO DE SAO LOURENCO,Espírito Santo,4,2,0,1,0,2
Não Informado,VALENCA,Rio de Janeiro,4,0,0,0,0,0
BOA ESPERANÇA,BARRA DE SAO FRANCISCO,Espírito Santo,4,1,0,1,1,2
CARMELO,MUQUI,Espírito Santo,4,1,0,1,0,3
CÓRREGO JULIETA,SAO DOMINGOS DO NORTE,Espírito Santo,4,0,0,0,0,4
Não Informado,SANTA TEREZA,Rio Grande do Sul,4,0,0,0,0,0
CÓRREGO LAGOINHA,RIO BANANAL,Espírito Santo,4,2,0,2,0,2
Não Informado,BOA ESPERANCA DO SUL,São Paulo,4,0,0,0,0,0
FAZENDA PANORAMA,ITAGUACU,Espírito Santo,4,1,0,1,0,3
CORREGO LARANJA DA TERRA,PANCAS,Espírito Santo,4,0,0,0,0,4
CÓRREGO LINDOLFO,VILA PAVAO,Espírito Santo,4,0,0,0,1,3
CÓRREGO MANGUE,BAIXO GUANDU,Espírito Santo,4,1,0,1,0,3
CÓRREGO MENEZES,JAGUARE,Espírito Santo,4,2,0,2,0,2
CÓRREGO MISTERIOSO,COLATINA,Espírito Santo,4,2,0,2,0,2
Não Informado,BEBEDOURO,São Paulo,4,0,0,0,0,0
CÓRREGO PALMEIRA,ECOPORANGA,Espírito Santo,4,0,0,0,2,2
CONCEIÇÃO DE CIMA,RIO BANANAL,Espírito Santo,4,2,0,2,0,2
CORREGO PALMITO CRU,PANCAS,Espírito Santo,4,3,0,2,0,1
CARVÃO,PONTO BELO,Espírito Santo,4,0,0,0,0,4
Não Informado,PEDERNEIRAS,São Paulo,4,0,0,0,0,0
BELO HORIZONTE OTIL,MARATAIZES,Espírito Santo,4,1,0,1,0,3
CORREGO PARANAZINHO -Euclides,PANCAS,Espírito Santo,4,0,0,0,0,4
Não Informado,TRES BARRAS,Santa Catarina,4,0,0,0,0,0
Não Informado,TORRES,Rio Grande do Sul,4,0,0,0,0,0
Não Informado,PEDREGULHO,São Paulo,4,0,0,0,0,0
Não Informado,XAXIM,Santa Catarina,4,0,0,0,0,0
Não Informado,LUZIANIA,Goiás,4,0,0,0,0,0
ALTO LAMBARI FRIO,ALEGRE,Espírito Santo,4,2,0,2,0,2
FIGUEIRA,IRUPI,Espírito Santo,4,0,0,0,0,4
CÓR. SECO,SAO MATEUS,Espírito Santo,4,0,0,0,0,4
CÓRREGO DOS MILAGRES,SAO JOSE DO CALCADO,Espírito Santo,4,0,0,0,0,4
CENTRO,MANTENA,Minas Gerais,4,2,0,1,0,2
CÓRREGO SABIA,NOVA VENECIA,Espírito Santo,4,1,0,1,0,3
BELA VISTA,PONTO BELO,Espírito Santo,4,0,0,0,0,4
Não Informado,CERQUEIRA CESAR,São Paulo,4,0,0,0,0,0
Córego Panquinhas - Dionysio,PANCAS,Espírito Santo,4,0,0,0,1,3
CÓRREGO SANTA INES,NOVA VENECIA,Espírito Santo,4,1,0,1,0,3
CÓRREGO DO TUCUM,NOVA VENECIA,Espírito Santo,4,0,0,0,0,4
ALTO PANCAS - EUCLIDES,PANCAS,Espírito Santo,4,0,0,0,2,2
CÓRREGO DO SERRO,JERONIMO MONTEIRO,Espírito Santo,4,0,0,0,0,4
Não Informado,VALPARAISO DE GOIAS,Goiás,4,0,0,0,0,0
BOM JARDIM,MUNIZ FREIRE,Espírito Santo,4,1,0,1,0,3
Não Informado,ABATIA,Paraná,4,0,0,0,0,0
CORREGO SANTA ROSA,PANCAS,Espírito Santo,4,1,0,1,0,3
FLORESTA,PANCAS,Espírito Santo,4,1,0,1,0,3
Não Informado,ALVORADA,Rio Grande do Sul,4,0,0,0,0,0
BARRO NOVO,SAO MATEUS,Espírito Santo,4,1,0,1,0,3
Não Informado,DOURADOS,Mato Grosso do Sul,4,0,0,0,0,0
FAZENDA JASKE,LARANJA DA TERRA,Espírito Santo,4,0,0,0,0,4
Não Informado,MONGAGUA,São Paulo,4,0,0,0,0,0
Não Informado,ARROIO DO MEIO,Rio Grande do Sul,4,0,0,0,0,0
CORREGO DA CASTANHEIRA,LARANJA DA TERRA,Espírito Santo,4,1,0,1,0,3
GABIROBA,MIMOSO DO SUL,Espírito Santo,4,4,0,4,0,0
Não Informado,ESTRELA,Rio Grande do Sul,4,0,0,0,0,0
CÓRREGO DA CABECEIRA DA RAPADURA,VILA PAVAO,Espírito Santo,4,2,0,2,0,2
Não Informado,COLNIZA,Mato Grosso,4,0,0,0,0,0
Não Informado,ARAGOIANIA,Goiás,4,0,0,0,0,0
Não Informado,SANTA ISABEL,São Paulo,4,0,0,0,0,0
Não Informado,PIRAI,Rio de Janeiro,4,0,0,0,0,0
CAMPO VERDE II,CONCEICAO DA BARRA,Espírito Santo,4,2,0,2,0,2
DISTRITO DE ITAMIRA,NANUQUE,Minas Gerais,4,4,0,0,0,0
CENTRO,BOM JESUS DO ITABAPOANA,Rio de Janeiro,4,3,0,3,0,1
CÓRREGO DA INVEJADA,ECOPORANGA,Espírito Santo,4,0,0,0,4,0
Não Informado,LUCAS DO RIO VERDE,Mato Grosso,4,0,0,0,0,0
Não Informado,TELEMACO BORBA,Paraná,4,0,0,0,0,0
CEDRO,MIMOSO DO SUL,Espírito Santo,4,1,0,1,1,2
MANGUEIRA,CACHOEIRO DE ITAPEMIRIM,Espírito Santo,4,2,0,2,0,2
Não Informado,JANIOPOLIS,Paraná,4,0,0,0,0,0
CABECEIRA DO SANTO AMARO,MUNIZ FREIRE,Espírito Santo,4,1,0,0,2,1
LOTEAMENTO SILVANA,BOM JESUS DO NORTE,Espírito Santo,4,0,0,0,0,4
Não Informado,RIO DAS FLORES,Rio de Janeiro,4,0,0,0,0,0
CÓRREGO DA AREIA,SAO JOSE DO CALCADO,Espírito Santo,4,0,0,0,0,4
CÓRREGO DA LAJE,BARRA DE SAO FRANCISCO,Espírito Santo,4,0,0,0,2,2
Não Informado,ESTEIO,Rio Grande do Sul,4,0,0,0,0,0
Não Informado,ENCRUZILHADA DO SUL,Rio Grande do Sul,4,0,0,0,0,0
Não Informado,MORRETES,Paraná,4,0,0,0,0,0
ESCADINHA,SAO MATEUS,Espírito Santo,4,1,0,1,0,3
CÓRREGO BEIRA RIO SÃO JOSÉ,SAO DOMINGOS DO NORTE,Espírito Santo,4,2,0,2,0,2
Não Informado,ITABERA,São Paulo,4,0,0,0,0,0
Não Informado,FAXINAL DO SOTURNO,Rio Grande do Sul,4,0,0,0,0,0
MARIA GOMES VALIM,AFONSO CLAUDIO,Espírito Santo,4,1,0,1,3,0
Não Informado,CARLOS BARBOSA,Rio Grande do Sul,4,0,0,0,0,0
CORREGO DA ONÇA,BARRA DE SAO FRANCISCO,Espírito Santo,4,0,0,0,1,3
LOTEAMENTO CORDEIRO,RIO BANANAL,Espírito Santo,4,2,0,2,0,2
CABECEIRA DO RIO BAUNILHA,COLATINA,Espírito Santo,4,3,0,3,0,1
CAXIXE,CASTELO,Espírito Santo,4,1,0,0,0,3
CÓRREGO DA ANTA,BARRA DE SAO FRANCISCO,Espírito Santo,4,2,0,2,1,1
GUARAREMA,ARACRUZ,Espírito Santo,4,1,0,1,1,2
Não Informado,SAO JOSE DE UBA,Rio de Janeiro,4,0,0,0,0,0
ITINGA,ICONHA,Espírito Santo,4,1,0,1,0,3
HARMONIA,MIMOSO DO SUL,Espírito Santo,4,0,0,0,0,4
ASSENTAMENTO CÓRREGO DA LAGE,PONTO BELO,Espírito Santo,4,0,0,0,1,3
JACUTINGA,AGUA DOCE DO NORTE,Espírito Santo,3,0,0,0,1,2
CÓRREGO PEDRA BONITA,BARRA DE SAO FRANCISCO,Espírito Santo,3,0,0,0,1,2
Não Informado,SAO JOAO DO MANHUACU,Minas Gerais,3,0,0,0,0,0
Não Informado,TRAMANDAI,Rio Grande do Sul,3,0,0,0,0,0
Não Informado,VENANCIO AIRES,Rio Grande do Sul,3,0,0,0,0,0
TIJUCO I,DOMINGOS MARTINS,Espírito Santo,3,0,0,0,0,3
Não Informado,PARANAVAI,Paraná,3,0,0,0,0,0
Não Informado,IBIUNA,São Paulo,3,0,0,0,0,0
CÓRREGO PRAÇA RICA,NOVA VENECIA,Espírito Santo,3,1,0,1,0,2
FAZENDA MILAGROSA,BAIXO GUANDU,Espírito Santo,3,0,0,0,0,3
Não Informado,SAO FRANCISCO DO GLORIA,Minas Gerais,3,0,0,0,0,0
Não Informado,COSMOPOLIS,São Paulo,3,0,0,0,0,0
Não Informado,SANTA RITA DO SAPUCAI,Minas Gerais,3,0,0,0,0,0
Não Informado,SANTA VITORIA,Minas Gerais,3,0,0,0,0,0
PERDIDO,NOVA VENECIA,Espírito Santo,3,0,0,0,0,3
POUSO ALTO,MANTENOPOLIS,Espírito Santo,3,0,0,0,0,3
Não Informado,CONCEICAO DA BARRA DE MINAS,Minas Gerais,3,0,0,0,0,0
Não Informado,ALPINOPOLIS,Minas Gerais,3,0,0,0,0,0
Não Informado,SAO FRANCISCO DE PAULA,Minas Gerais,3,0,0,0,0,0
Não Informado,SANTA BARBARA DO LESTE,Minas Gerais,3,0,0,0,0,0
FAZENDA MEMORIA,SAO JOSE DO CALCADO,Espírito Santo,3,0,0,0,0,3
CÓRREGO ROSA DE LIMA,NOVA VENECIA,Espírito Santo,3,1,0,1,0,2
Não Informado,LAGUNA,Santa Catarina,3,0,0,0,0,0
FAZENDA MARTINELLI,SAO GABRIEL DA PALHA,Espírito Santo,3,0,0,0,1,2
EDESSA,COLATINA,Espírito Santo,3,1,0,1,0,2
VARGEM GRANDE,SANTA LUZIA,Minas Gerais,3,0,0,0,3,0
Não Informado,ABREU E LIMA,Pernambuco,3,0,0,0,0,0
CÓRREGO SANTA ANA - NILTON ALVES,PANCAS,Espírito Santo,3,0,0,0,0,3
CÓRREGO SANTA CRUZ,SAO GABRIEL DA PALHA,Espírito Santo,3,1,0,1,0,2
3 ESTADOS,DORES DO RIO PRETO,Espírito Santo,3,0,0,0,0,3
ALTO SAO BENTO,MIMOSO DO SUL,Espírito Santo,3,1,0,1,0,2
Não Encontrado,TEOFILO OTONI,Minas Gerais,3,2,0,1,0,1
Não Informado,WANDERLANDIA,Tocantins,3,0,0,0,0,0
BARRA DOS PONTÕES,MIMOSO DO SUL,Espírito Santo,3,2,0,2,0,1
Não Informado,MEDIANEIRA,Paraná,3,0,0,0,0,0
Não Informado,CORREGO NOVO,Minas Gerais,3,0,0,0,0,0
Não Informado,TAQUARACU DE MINAS,Minas Gerais,3,0,0,0,0,0
Não Informado,SAO GABRIEL,Rio Grande do Sul,3,0,0,0,0,0
Não Informado,SIMONESIA,Minas Gerais,3,0,0,0,0,0
3 IRMÃOS,LINHARES,Espírito Santo,3,0,0,0,2,1
Não Informado,CORONEL MURTA,Minas Gerais,3,0,0,0,0,0
FAZENDA PALMITAL,AGUIA BRANCA,Espírito Santo,3,1,0,1,0,2
CÓRREGO MARIA HELENA,SAO DOMINGOS DO NORTE,Espírito Santo,3,2,0,2,0,1
Não Informado,BRODOWSKI,São Paulo,3,0,0,0,0,0
PONTÕES,SAO JOSE DO CALCADO,Espírito Santo,3,1,0,0,0,2
Não Informado,COUTO DE MAGALHAES DE MINAS,Minas Gerais,3,0,0,0,0,0
FAZENDA PALMEIRAS,MONTANHA,Espírito Santo,3,1,0,1,0,2
Pelourinho,MONTANHA,Espírito Santo,3,0,0,0,0,3
ALTO CAPINZINHO,ALTO RIO NOVO,Espírito Santo,3,0,0,0,0,3
CARIACICA III,CARIACICA,Espírito Santo,3,1,1,0,0,2
Não Informado,VERA CRUZ,Bahia,3,0,0,0,0,0
OLAVO BRASIL,CARIACICA,Espírito Santo,3,1,0,1,0,2
Não Informado,CONFINS,Minas Gerais,3,0,0,0,0,0
Não Informado,CABREUVA,São Paulo,3,0,0,0,0,0
Não Informado,FORTIM,Ceará,3,0,0,0,0,0
7 LAGOAS,PONTO BELO,Espírito Santo,3,1,0,1,0,2
VARJÃO DA COTIA,ALEGRE,Espírito Santo,3,2,0,2,0,1
Não Informado,SAO MIGUEL DO ANTA,Minas Gerais,3,0,0,0,0,0
Não Informado,WENCESLAU GUIMARAES,Bahia,3,0,0,0,0,0
Não Informado,CAMPOS DO JORDAO,São Paulo,3,0,0,0,0,0
ALTO BOM DESTINO,LARANJA DA TERRA,Espírito Santo,3,0,0,0,0,3
FAZENDA ODILON MILAGRES,BAIXO GUANDU,Espírito Santo,3,0,0,0,0,3
Não Informado,MARECHAL CANDIDO RONDON,Paraná,3,0,0,0,0,0
Não Informado,SAO JOSE DA BARRA,Minas Gerais,3,0,0,0,0,0
Não Informado,CRISTINA,Minas Gerais,3,0,0,0,0,0
CÓRREGO PANQUINHAS - CORTELETTI,PANCAS,Espírito Santo,3,2,0,2,0,1
Não Informado,CONCEICAO DA APARECIDA,Minas Gerais,3,0,0,0,0,0
Não Informado,SAO JOAO NEPOMUCENO,Minas Gerais,3,0,0,0,0,0
PENHA DA BARRA SECA,SAO GABRIEL DA PALHA,Espírito Santo,3,1,0,1,0,2
Não Informado,NOVA LACERDA,Mato Grosso,3,0,0,0,0,0
Não Informado,SORRISO,Mato Grosso,3,0,0,0,0,0
Não Informado,FRANCISCO AYRES,Piauí,3,0,0,0,0,0
Não Informado,SARANDI,Paraná,3,0,0,0,0,0
Não Informado,CAMANDUCAIA,Minas Gerais,3,0,0,0,0,0
Não Informado,PINDARE-MIRIM,Maranhão,3,0,0,0,0,0
CORREGO TAQUARUSSU,GOVERNADOR LINDENBERG,Espírito Santo,3,1,0,1,0,2
Não Informado,CAMPO VERDE,Mato Grosso,3,0,0,0,0,0
CAPITÂNIA,SANTA LEOPOLDINA,Espírito Santo,3,1,0,1,0,2
Não Encontrado,VOLTA REDONDA,Rio de Janeiro,3,1,0,1,1,1
Não Informado,GOVERNADOR CELSO RAMOS,Santa Catarina,3,0,0,0,0,0
Não Informado,CASCAVEL,Ceará,3,0,0,0,0,0
Não Informado,GASPAR,Santa Catarina,3,0,0,0,0,0
Não Informado,BRAZABRANTES,Goiás,3,0,0,0,0,0
CORREGO VARGEM GRANDE,VILA PAVAO,Espírito Santo,3,0,0,0,0,3
Não Informado,BARRA LONGA,Minas Gerais,3,0,0,0,0,0
Não Informado,MAIRIPORA,São Paulo,3,0,0,0,0,0
STERQUIM,MANTENOPOLIS,Espírito Santo,3,0,0,0,0,3
Não Informado,BERTOPOLIS,Minas Gerais,3,0,0,0,0,0
Não Informado,CURITIBANOS,Santa Catarina,3,0,0,0,0,0
Não Encontrado,GUARULHOS,São Paulo,3,3,0,1,0,0
VALE DA PAULICEIA,MIMOSO DO SUL,Espírito Santo,3,0,0,0,0,3
Não Encontrado,PORTO ALEGRE,Rio Grande do Sul,3,1,0,0,0,2
Não Informado,CALDAS NOVAS,Goiás,3,0,0,0,0,0
BREJAUBINHA,SAO JOAO DO MANTENINHA,Minas Gerais,3,3,0,3,0,0
Não Informado,CONCORDIA,Santa Catarina,3,0,0,0,0,0
Não Informado,PALMA,Minas Gerais,3,0,0,0,0,0
NOVA ESPERANÇA,CONCEICAO DA BARRA,Espírito Santo,3,3,0,3,0,0
SUMIDOURO DO PANCAS,PANCAS,Espírito Santo,3,1,0,1,0,2
Não Encontrado,JOINVILLE,Santa Catarina,3,0,0,0,0,3
Não Informado,SAO VICENTE,Rio Grande do Norte,3,0,0,0,0,0
Não Informado,ARIPUANA,Mato Grosso,3,0,0,0,0,0
Não Informado,PATROCINIO DO MURIAE,Minas Gerais,3,0,0,0,0,0
Não Informado,CAMOCIM,Ceará,3,0,0,0,0,0
CABECEIRA DO RIO MUTUM,SAO ROQUE DO CANAA,Espírito Santo,3,2,0,2,1,0
BRINGE,DOMINGOS MARTINS,Espírito Santo,3,0,0,0,0,3
Não Informado,CARMO DO RIO VERDE,Goiás,3,0,0,0,0,0
Não Informado,ARAQUARI,Santa Catarina,3,0,0,0,0,0
AGUAS CLARAS,BARRA DE SAO FRANCISCO,Espírito Santo,3,1,1,0,0,2
Não Informado,BRASILIA DE MINAS,Minas Gerais,3,0,0,0,0,0
PIRASSUNUNGA,ARACRUZ,Espírito Santo,3,0,0,0,0,3
ITAÚNAS,MUCURICI,Espírito Santo,3,0,0,0,0,3
Não Informado,SAO LUIS GONZAGA DO MARANHAO,Maranhão,3,0,0,0,0,0
UNIAO,ALFREDO CHAVES,Espírito Santo,3,1,0,1,0,2
Não Informado,JARDINOPOLIS,São Paulo,3,0,0,0,0,0
Não Informado,SANTA RITA DE MINAS,Minas Gerais,3,0,0,0,0,0
SÃO PEDRO DO ITABAPOANA,MIMOSO DO SUL,Espírito Santo,3,1,0,0,2,0
CÓRREGO SANTA MAXIMA,NOVA VENECIA,Espírito Santo,3,1,0,1,0,2
Não Informado,LAMBARI D'OESTE,Mato Grosso,3,0,0,0,0,0
JEQUITINHONHA,SAO JOSE DO CALCADO,Espírito Santo,3,1,0,1,0,2
Não Informado,SANTANA DE CATAGUASES,Minas Gerais,3,0,0,0,0,0
VARGEM ALEGRE DE LAGINHA,PANCAS,Espírito Santo,3,1,0,1,0,2
Não Informado,CRUZEIRO,São Paulo,3,0,0,0,0,0
Não Informado,ALVARENGA,Minas Gerais,3,0,0,0,0,0
JEQUITIBA,MARECHAL FLORIANO,Espírito Santo,3,0,0,0,0,3
Não Informado,IBIPORA,Paraná,3,0,0,0,0,0
Não Informado,PIEDADE DE CARATINGA,Minas Gerais,3,0,0,0,0,0
NEVES,PRESIDENTE KENNEDY,Espírito Santo,3,0,0,0,0,3
Não Informado,ANDRADAS,Minas Gerais,3,0,0,0,0,0
Não Informado,HOLAMBRA,São Paulo,3,0,0,0,0,0
Não Informado,PARANA,Rio Grande do Norte,3,0,0,0,0,0
Não Informado,ANTONIO CARLOS,Minas Gerais,3,0,0,0,0,0
Não Encontrado,CABO FRIO,Rio de Janeiro,3,3,0,2,0,0
CÓRREGO SANTO ANTÔNIO,SAO DOMINGOS DO NORTE,Espírito Santo,3,2,0,2,0,1
Não Informado,ITAPOA,Santa Catarina,3,0,0,0,0,0
NOVA CANAÃ,ITAPEMIRIM,Espírito Santo,3,1,0,1,0,2
SÃO LUIS,ATILIO VIVACQUA,Espírito Santo,3,0,0,0,0,3
BONFIM,ECOPORANGA,Espírito Santo,3,0,0,0,1,2
Não Informado,ARCEBURGO,Minas Gerais,3,0,0,0,0,0
ÁGUA BOA-CENTRO,MUCURICI,Espírito Santo,3,0,0,0,0,3
Não Informado,DOM CAVATI,Minas Gerais,3,0,0,0,0,0
CACHOEIRA DO CRAVO,SAO MATEUS,Espírito Santo,3,0,0,0,2,1
Não Informado,GUAIRA,São Paulo,3,0,0,0,0,0
Não Informado,PARANOA,Distrito Federal,3,0,0,0,0,0
Não Encontrado,NITEROI,Rio de Janeiro,3,0,0,0,0,3
Não Informado,CORNELIO PROCOPIO,Paraná,3,0,0,0,0,0
Não Informado,PLANALTINA,Distrito Federal,3,0,0,0,0,0
Não Informado,PONTA PORA,Mato Grosso do Sul,3,0,0,0,0,0
CARACOL,APIACA,Espírito Santo,3,1,0,1,0,2
Não Encontrado,RIO DAS OSTRAS,Rio de Janeiro,3,3,0,2,0,0
